,0,1,2
0,714,285,1
1,717,282,1
2,689,311,0
3,713,287,0
4,699,301,0
5,718,282,0
6,703,297,0
7,707,293,0
8,696,303,1
9,714,286,0
10,706,294,0
11,716,281,3
12,720,279,1
13,707,293,0
14,710,290,0
15,677,323,0
16,709,291,0
17,692,305,3
18,724,276,0
19,711,289,0
