,0,1,2
0,731,269,0
1,826,174,0
2,856,143,1
3,839,160,1
4,834,166,0
5,827,170,3
6,864,136,0
7,831,168,1
8,844,156,0
9,846,153,1
10,826,173,1
11,834,166,0
12,823,177,0
13,842,157,1
14,816,184,0
15,847,152,1
16,818,182,0
17,817,183,0
18,810,190,0
19,809,191,0
20,833,166,1
21,846,154,0
22,838,162,0
23,854,145,1
24,819,181,0
25,823,177,0
26,824,175,1
27,817,183,0
28,818,182,0
29,824,176,0
30,815,185,0
31,811,188,1
32,835,164,1
33,831,169,0
34,829,171,0
35,836,163,1
36,823,175,2
37,848,152,0
38,823,176,1
39,831,169,0
40,827,172,1
41,815,185,0
42,802,198,0
43,816,184,0
44,795,205,0
45,818,182,0
46,822,177,1
47,837,163,0
48,828,172,0
49,817,183,0
